table,field,type,description
质量事件表,事件ID,文本,全局唯一业务键及幂等键
质量事件表,事件时间,日期时间,边缘侧事件时间
质量事件表,采集时间,日期时间,平台接收时间
质量事件表,数据质量码,单选,GOOD/STALE/MISSING/QUARANTINED
质量事件表,运行模式,单选,影子验证/协同执行/生产受控
质量事件表,风险等级,单选,P1/P2/P3
质量事件表,设备与工位,文本,异常关联资产及位置
质量事件表,异常参数,文本,参数值与工艺窗口
质量事件表,影响范围,关联记录,VIN或零件批次清单
质量事件表,根因Top3,长文本,支持证据、冲突证据与后验置信度
质量事件表,事件护照,文本,规则、知识、特征版本及证据哈希
处置任务表,任务ID,文本,事件ID加动作序号
处置任务表,责任角色,单选,质量/检测/设备/工艺/班组
处置任务表,责任人,人员,企业身份映射后的执行人员
处置任务表,SLA,日期时间,承诺完成时刻
处置任务表,任务状态,单选,待接单/执行中/待验证/已完成/被驳回
处置任务表,操作依据,附件,点检结果、维修单或首件记录
复检记录表,复检对象,关联记录,VIN或零件批次
复检记录表,复检项目与准则,长文本,控制计划要求及上下限
复检记录表,实测值,文本,原始实测结果及单位
复检记录表,量具与校准状态,文本,量具ID、校准有效期及MSA状态
复检记录表,检测人员,人员,实名提交人
复检记录表,检测结论,单选,合格/不合格/需扩大范围
设备维修表,设备与措施,长文本,纠正措施、部件及参数恢复情况
设备维修表,首件结果,附件,恢复后首件记录
审批记录表,审批角色,单选,质量工程师/检测人员/质量负责人
审批记录表,审批人,人员,实名授权人
审批记录表,审批范围,长文本,风险受理/证据确认/最终放行
审批记录表,审批意见,长文本,同意、驳回及原因
审批记录表,审批时间,日期时间,不可覆盖的签署时间
复盘知识表,根因与措施,长文本,最终根因、临时遏制和系统性纠正
复盘知识表,PFMEA版本,文本,变更前后版本及审批号
复盘知识表,控制计划版本,文本,变更前后版本及反应计划
复盘知识表,有效性观察期,日期,复发监测窗口
复盘知识表,关闭依据,长文本,五项关闭门及证据索引
